name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds

converging_unsafe_2_a1_b0-src_a1-dst_b0.in, unsafe,  4.430,  1.370,  0.255,  3.448,  0.777,  0.071,  2.214,  24,  {0: 1; 1: 2; 2: 3},  {0: 11; 1: 5},  0,  5,  0,  0,  0 

illinois.in, safe,  127.480,  55.046,  57.119,  87.187,  38.973,  0.032,  13.698,  87,  {0: 1; 1: 1; 2: 3; 3: 5; 4: 5; 5: 4},  {0: 21; 1: 42; 2: 42; 3: 42; 4: 23},  1,  4,  9,  0,  8 

ring_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

swimming-pool.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

crash2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_unsafe_2_s_d-src_s-dst_d.in, unsafe,  354.954,  158.932,  136.676,  279.163,  74.938,  0.315,  56.217,  87,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 10; 5: 5},  {0: 35; 1: 59; 2: 59; 3: 31},  2,  4,  0,  0,  0 

network_safe_3_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bw-bakery.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

system_4.in, safe,  188.121,  124.858,  32.892,  82.181,  103.925,  0.064,  5.314,  1327,  {0: 1; 1: 2; 2: 2; 3: 2; 4: 5; 5: 20; 6: 35; 7: 43; 8: 35; 9: 29; 10: 34; 11: 25},  {0: 16; 1: 16; 2: 19; 3: 19; 4: 19; 5: 19; 6: 19; 7: 19; 8: 19; 9: 19; 10: 19},  3,  9,  19,  0,  17 

ticket.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bakery_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_unsafe_3_s_d-src_s-dst_d.in, unsafe,  1.953,  0.505,  0.202,  1.394,  0.319,  0.072,  0.712,  32,  {0: 1; 1: 2; 2: 2; 3: 3},  {0: 14; 1: 9; 2: 5},  0,  5,  0,  0,  0 

network_unsafe_3_d_e-src_d-dst_e.in, unsafe,  1607.267,  578.327,  643.959,  1223.801,  380.011,  1.283,  375.958,  75,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 4; 5: 8},  {0: 137; 1: 96; 2: 62; 3: 35; 4: 15},  0,  15,  0,  0,  0 

crash3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

burns.in, safe,  763.078,  539.369,  162.838,  270.688,  488.710,  0.110,  49.734,  573,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 5; 5: 5; 6: 13; 7: 18; 8: 11; 9: 20; 10: 4},  {0: 17; 1: 17; 2: 17; 3: 17; 4: 17; 5: 17; 6: 17; 7: 17; 8: 33; 9: 33},  2,  4,  12,  0,  11 

bakery_t.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

mesi_ca.in, safe,  0.867,  0.275,  0.143,  0.425,  0.256,  0.006,  0.021,  63,  {0: 1; 1: 1; 2: 2; 3: 10; 4: 3},  {0: 6; 1: 6; 2: 6; 3: 6},  1,  4,  6,  0,  6 

