name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds

converging_unsafe_2_a1_b0-src_a1-dst_b0.in, unsafe,  5.809,  1.350,  0.355,  4.855,  0.740,  0.080,  3.470,  25,  {0: 1; 1: 1; 2: 5},  {0: 11; 1: 5},  0,  5,  0,  0,  0 

illinois.in, safe,  148.987,  62.401,  68.232,  102.745,  44.770,  0.068,  16.649,  79,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 5; 5: 4},  {0: 21; 1: 48; 2: 48; 3: 48; 4: 27},  1,  4,  11,  0,  6 

ring_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

swimming-pool.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

crash2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_unsafe_2_s_d-src_s-dst_d.in, unsafe,  131.719,  43.192,  59.851,  110.026,  21.150,  0.171,  26.530,  76,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 8; 5: 4},  {0: 44; 1: 44; 2: 44; 3: 25},  1,  4,  0,  0,  0 

network_safe_3_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bw-bakery.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

system_4.in, safe,  51.562,  29.363,  10.802,  25.315,  25.205,  0.017,  1.522,  689,  {0: 1; 1: 2; 2: 3; 3: 9; 4: 9; 5: 22; 6: 18; 7: 18; 8: 42; 9: 9},  {0: 9; 1: 9; 2: 16; 3: 16; 4: 16; 5: 16; 6: 16; 7: 16; 8: 16},  1,  9,  16,  0,  15 

ticket.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bakery_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_unsafe_3_s_d-src_s-dst_d.in, unsafe,  1.879,  0.489,  0.204,  1.312,  0.329,  0.071,  0.648,  32,  {0: 1; 1: 2; 2: 2; 3: 3},  {0: 14; 1: 9; 2: 5},  0,  5,  0,  0,  0 

network_unsafe_3_d_e-src_d-dst_e.in, unsafe,  2372.129,  688.960,  1120.615,  1978.190,  389.981,  1.767,  551.120,  82,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 4; 5: 8; 6: 3},  {0: 137; 1: 96; 2: 62; 3: 35; 4: 15},  0,  15,  0,  0,  0 

crash3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

burns.in, safe,  1134.008,  787.884,  237.615,  425.226,  700.522,  0.746,  94.551,  587,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3; 5: 5; 6: 13; 7: 19; 8: 21; 9: 21; 10: 2},  {0: 21; 1: 21; 2: 21; 3: 21; 4: 21; 5: 21; 6: 21; 7: 21; 8: 29; 9: 29},  2,  4,  11,  0,  9 

bakery_t.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

mesi_ca.in, safe,  0.955,  0.300,  0.161,  0.477,  0.272,  0.006,  0.025,  62,  {0: 1; 1: 1; 2: 2; 3: 10; 4: 3},  {0: 8; 1: 8; 2: 8; 3: 8},  1,  4,  8,  0,  6 

ring_unsafe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

converging_unsafe_1_a0_b0-src_a0-dst_b0.in, unsafe,  0.420,  0.138,  0.043,  0.236,  0.081,  0.019,  0.084,  11,  {0: 1; 1: 2},  {0: 3},  0,  3,  0,  0,  0 

dijkstra_1.in, safe,  371.595,  145.543,  177.247,  257.150,  104.127,  0.033,  42.520,  269,  {0: 1; 1: 1; 2: 1; 3: 8; 4: 12; 5: 8; 6: 10; 7: 18},  {0: 13; 1: 25; 2: 25; 3: 25; 4: 25; 5: 25; 6: 25},  1,  5,  11,  0,  10 

moesi.in, safe,  5.087,  1.697,  2.338,  3.754,  1.027,  0.022,  0.562,  37,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3},  {0: 9; 1: 25; 2: 25; 3: 25},  1,  3,  11,  0,  5 

ring_safe_2_s_d-src_s-dst_d.in, safe,  192.510,  112.805,  64.679,  95.733,  96.056,  0.036,  12.558,  110,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 11; 5: 2; 6: 2},  {0: 44; 1: 44; 2: 25; 3: 25; 4: 25; 5: 11},  1,  4,  11,  0,  8 

carverS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

converging_unsafe_5_a2_b0-src_a2-dst_b0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

Ricart-Agrawala.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

filter-simple.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

system.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

