name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds

ticket_o_param.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

illinois.in, safe,  140.939,  52.247,  69.689,  101.757,  37.828,  0.034,  17.442,  70,  {0: 1; 1: 1; 2: 2; 3: 3; 4: 5; 5: 4},  {0: 21; 1: 48; 2: 48; 3: 48; 4: 27},  1,  4,  11,  0,  9 

chandra_suggested_inv_06.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ticket.in, safe,  62.900,  28.918,  26.679,  36.539,  23.042,  0.021,  5.516,  112,  {0: 1; 1: 1; 2: 1; 3: 7; 4: 11; 5: 4},  {0: 25; 1: 25; 2: 25; 3: 25; 4: 25},  1,  4,  8,  0,  9 

german_undip.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

flash_u_cnj_03.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

moesi.in, safe,  4.549,  1.580,  1.979,  3.255,  1.009,  0.019,  0.538,  37,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3},  {0: 9; 1: 23; 2: 23; 3: 23},  1,  3,  9,  0,  5 

chandra_suggested_inv_03.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

flash_u_cnj_06.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

flash_u_cnj_05.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

flash_eager.in, safe,  0.548,  0.194,  0.241,  0.312,  0.134,  0.000,  0.019,  10,  {0: 1; 1: 1; 2: 1},  {0: 9; 1: 9},  0,  3,  3,  0,  3 

bakery.in, safe,  6.378,  3.222,  2.202,  3.268,  2.830,  0.018,  0.418,  47,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 2},  {0: 9; 1: 9; 2: 27; 3: 27},  1,  3,  9,  0,  9 

flash_u_cnj_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

synapse.in, safe,  1.744,  0.521,  0.661,  1.282,  0.244,  0.029,  0.294,  21,  {0: 1; 1: 1; 2: 1; 3: 2},  {0: 9; 1: 19; 2: 19},  1,  3,  7,  0,  4 

chandra_suggested_inv_05.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

jml.in, safe,  1078.692,  463.182,  471.465,  727.083,  337.848,  0.071,  132.843,  440,  {0: 1; 1: 3; 2: 3; 3: 2; 4: 5; 5: 9; 6: 16; 7: 10; 8: 10; 9: 11; 10: 8},  {0: 63; 1: 63; 2: 63; 3: 63; 4: 41; 5: 41; 6: 41; 7: 41; 8: 24; 9: 24},  2,  6,  12,  0,  11 

szymanski_at_unsafe.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_suggested_inv_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_u_cnj_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_baukus.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_pfs.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_suggested_inv_04.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bakery_lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_buggy.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

xerox.in, safe,  177.608,  74.669,  75.418,  129.030,  45.867,  0.029,  23.697,  127,  {0: 1; 1: 1; 2: 2; 3: 3; 4: 6; 5: 8; 6: 6; 7: 6},  {0: 48; 1: 28; 2: 28; 3: 28; 4: 28; 5: 28; 6: 28},  1,  7,  13,  0,  8 

flash_u_cnj_08.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

mesi.in, safe,  13.725,  4.767,  6.818,  10.202,  3.135,  0.014,  1.531,  46,  {0: 1; 1: 1; 2: 2; 3: 4; 4: 3},  {0: 18; 1: 30; 2: 17; 3: 17},  1,  3,  7,  0,  6 

