name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds

ticket_o_param.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

illinois.in, safe,  160.084,  66.630,  73.808,  108.306,  50.323,  0.075,  17.833,  84,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 5; 5: 4},  {0: 21; 1: 48; 2: 48; 3: 48; 4: 27},  1,  4,  11,  0,  10 

chandra_suggested_inv_06.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ticket.in, safe,  122.892,  51.097,  59.466,  77.591,  39.729,  0.019,  9.781,  158,  {0: 1; 1: 1; 2: 1; 3: 5; 4: 13; 5: 2; 6: 1; 7: 8},  {0: 11; 1: 21; 2: 21; 3: 21; 4: 21; 5: 21; 6: 21},  1,  4,  7,  0,  10 

german_undip.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

flash_u_cnj_03.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

moesi.in, safe,  7.275,  3.125,  2.880,  4.414,  2.434,  0.022,  0.661,  46,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3; 5: 1},  {0: 9; 1: 25; 2: 25; 3: 25; 4: 25},  1,  3,  11,  0,  4 

chandra_suggested_inv_03.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

flash_u_cnj_06.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

flash_u_cnj_05.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

flash_eager.in, safe,  0.548,  0.169,  0.265,  0.319,  0.130,  0.000,  0.019,  10,  {0: 1; 1: 1; 2: 1},  {0: 9; 1: 9},  0,  3,  3,  0,  3 

bakery.in, safe,  3.777,  1.592,  1.388,  2.361,  1.145,  0.016,  0.394,  38,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 2},  {0: 9; 1: 9; 2: 19; 3: 19},  1,  3,  6,  0,  5 

flash_u_cnj_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

synapse.in, safe,  2.161,  0.682,  0.894,  1.510,  0.439,  0.026,  0.303,  21,  {0: 1; 1: 1; 2: 1; 3: 2},  {0: 9; 1: 25; 2: 25},  1,  3,  10,  0,  4 

chandra_suggested_inv_05.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

jml.in, safe,  1722.446,  673.732,  819.990,  1206.615,  494.647,  0.028,  214.243,  564,  {0: 1; 1: 3; 2: 2; 3: 4; 4: 4; 5: 10; 6: 7; 7: 14; 8: 12; 9: 19; 10: 19; 11: 9},  {0: 48; 1: 48; 2: 48; 3: 48; 4: 48; 5: 33; 6: 33; 7: 33; 8: 33; 9: 21; 10: 21},  1,  6,  12,  0,  12 

szymanski_at_unsafe.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_suggested_inv_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_u_cnj_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_baukus.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_pfs.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_suggested_inv_04.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bakery_lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_buggy.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

xerox.in, safe,  108.860,  39.073,  50.360,  85.006,  22.084,  0.027,  16.075,  135,  {0: 1; 1: 1; 2: 2; 3: 3; 4: 6; 5: 8; 6: 6; 7: 10},  {0: 33; 1: 20; 2: 20; 3: 20; 4: 20; 5: 20; 6: 20},  1,  7,  10,  0,  8 

flash_u_cnj_08.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

