name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

converging_safe_2_a1_b0-src_a1-dst_b0.in, safe,  0.944,  0.159,  0.125,  0.755,  0.089,  0.000,  0.472,  11,  {0: 1; 1: 1; 2: 2},  {0: 11; 1: 5},  0,  5 ,  5,  0,  2, 0, 3 

dijkstra0.in, safe,  53.985,  28.252,  18.925,  26.074,  24.624,  0.027,  4.033,  155,  {0: 1; 1: 3; 2: 3; 3: 11; 4: 10; 5: 4},  {0: 12; 1: 28; 2: 28; 3: 28; 4: 28},  1,  5 ,  13,  {'index': 2},  8, 0, 6 

sequence_safe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 5 

crash2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  8 , 0, 0, 0, 0, 10 

system_1.in, safe,  0.709,  0.241,  0.222,  0.305,  0.282,  0.000,  0.005,  27,  {0: 1; 1: 3; 2: 2},  {0: 7; 1: 7},  0,  7 ,  7,  0,  0, 0, 4 

ring_unsafe_2_s_d-src_s-dst_d.in, unsafe,  134.627,  39.368,  59.040,  122.251,  11.857,  0.170,  33.934,  76,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 7; 5: 6},  {0: 41; 1: 60; 2: 41; 3: 25},  1,  2 ,  0,  {'index': 4},  0, 0, 5 

moesi_ca.in, safe,  1.507,  0.553,  0.212,  0.655,  0.610,  0.008,  0.028,  79,  {0: 1; 1: 1; 2: 1; 3: 12; 4: 3},  {0: 8; 1: 8; 2: 8; 3: 8},  1,  6 ,  8,  {'index': 1},  0, 0, 5 

arp_safe_0.in, safe,  24.204,  8.538,  12.795,  15.451,  7.389,  0.025,  0.662,  110,  {0: 1; 1: 4; 2: 13; 3: 5},  {0: 15; 1: 15; 2: 15},  1,  11 ,  15,  {'index': 2},  7, 0, 5 

burns.in, safe,  328.213,  209.789,  79.687,  140.637,  184.256,  0.105,  29.755,  469,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3; 5: 5; 6: 13; 7: 19; 8: 11; 9: 19; 10: 2},  {0: 17; 1: 17; 2: 17; 3: 17; 4: 17; 5: 17; 6: 17; 7: 17; 8: 25; 9: 25},  2,  4 ,  9,  {'index': 2},  9, 0, 12 

ring_unsafe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  5 , 0, 0, 0, 0, 6 

reader.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

bakery_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  6 , 0, 0, 0, 0, 6 

system_3.in, safe,  1.717,  0.639,  0.496,  0.856,  0.705,  0.000,  0.045,  57,  {0: 1; 1: 3; 2: 3; 3: 5},  {0: 8; 1: 8; 2: 8},  0,  8 ,  8,  0,  0, 0, 5 

ring_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  6 , 0, 0, 0, 0, 7 

bakery_e.in, safe,  10.183,  2.156,  5.256,  7.291,  2.205,  0.018,  1.477,  99,  {0: 1; 1: 2; 2: 1; 3: 10; 4: 6},  {0: 12; 1: 13; 2: 13; 3: 13},  1,  5 ,  6,  {'index': 2},  5, 0, 6 

converging_unsafe_5_a2_b0-src_a2-dst_b0.in, unsafe,  1303.332,  486.562,  113.508,  1215.867,  86.497,  0.481,  696.370,  64,  {0: 1; 1: 2; 2: 3; 3: 6; 4: 10},  {0: 50; 1: 36; 2: 23},  0,  11 ,  0,  {'index': 4},  0, 0, 4 

Ricart-Agrawala.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

mux_sem.in, safe,  64.637,  28.272,  24.762,  41.413,  21.658,  0.024,  8.997,  174,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 4; 5: 4; 6: 8; 7: 4; 8: 5; 9: 4},  {0: 19; 1: 19; 2: 31; 3: 47; 4: 31; 5: 31; 6: 31; 7: 18; 8: 17},  1,  3 ,  7,  {'index': 2},  7, 0, 10 

Fischer_buggy.in, unsafe,  174.543,  23.475,  102.142,  150.021,  20.764,  0.111,  42.030,  265,  {0: 1; 1: 1; 2: 1; 3: 6; 4: 6; 5: 6; 6: 16; 7: 20; 8: 1},  {0: 25; 1: 25; 2: 25; 3: 25; 4: 25; 5: 25; 6: 25},  1,  5 ,  0,  {'index': 2},  0, 0, 8 

