name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

converging_safe_2_a1_b0-src_a1-dst_b0.in, safe,  0.818,  0.159,  0.124,  0.632,  0.084,  0.000,  0.341,  11,  {0: 1; 1: 1; 2: 2},  {0: 11; 1: 5},  0,  5 ,  5,  0,  2, 0, 3 

dijkstra0.in, safe,  112.295,  59.528,  40.441,  56.720,  50.623,  0.031,  8.328,  185,  {0: 1; 1: 1; 2: 2; 3: 13; 4: 10; 5: 5; 6: 4},  {0: 12; 1: 32; 2: 32; 3: 32; 4: 32; 5: 32},  1,  5 ,  15,  {'index': 2},  8, 0, 7 

sequence_safe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 6 

crash2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  8 , 0, 0, 0, 0, 10 

system_1.in, safe,  0.733,  0.250,  0.228,  0.314,  0.295,  0.000,  0.005,  27,  {0: 1; 1: 3; 2: 2},  {0: 7; 1: 7},  0,  7 ,  7,  0,  0, 0, 4 

ring_unsafe_2_s_d-src_s-dst_d.in, unsafe,  142.828,  46.853,  62.681,  122.725,  19.527,  0.178,  30.875,  81,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 10; 5: 4},  {0: 41; 1: 41; 2: 41; 3: 25},  1,  2 ,  0,  {'index': 4},  0, 0, 5 

moesi_ca.in, safe,  1.406,  0.517,  0.200,  0.609,  0.575,  0.008,  0.026,  79,  {0: 1; 1: 1; 2: 1; 3: 12; 4: 3},  {0: 8; 1: 8; 2: 8; 3: 8},  1,  6 ,  8,  {'index': 1},  0, 0, 5 

arp_safe_0.in, safe,  32.125,  10.761,  17.897,  21.690,  8.546,  0.024,  0.937,  123,  {0: 1; 1: 4; 2: 13; 3: 10},  {0: 15; 1: 15; 2: 15},  1,  11 ,  15,  {'index': 2},  7, 0, 5 

burns.in, safe,  405.059,  266.617,  89.230,  164.960,  233.458,  0.112,  38.413,  544,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3; 5: 5; 6: 14; 7: 19; 8: 16; 9: 19; 10: 2},  {0: 17; 1: 17; 2: 17; 3: 17; 4: 17; 5: 17; 6: 17; 7: 17; 8: 29; 9: 29},  2,  4 ,  11,  {'index': 2},  11, 0, 12 

ring_unsafe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  5 , 0, 0, 0, 0, 6 

reader.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

bakery_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  6 , 0, 0, 0, 0, 6 

system_3.in, safe,  1.826,  0.695,  0.510,  0.896,  0.764,  0.000,  0.046,  57,  {0: 1; 1: 3; 2: 3; 3: 5},  {0: 8; 1: 8; 2: 8},  0,  8 ,  8,  0,  0, 0, 5 

ring_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  6 , 0, 0, 0, 0, 7 

bakery_e.in, safe,  10.067,  2.116,  5.198,  7.225,  2.150,  0.019,  1.471,  99,  {0: 1; 1: 2; 2: 1; 3: 10; 4: 6},  {0: 12; 1: 13; 2: 13; 3: 13},  1,  5 ,  6,  {'index': 2},  5, 0, 6 

converging_unsafe_5_a2_b0-src_a2-dst_b0.in, unsafe,  1334.080,  210.706,  323.591,  1226.890,  106.164,  0.509,  791.834,  70,  {0: 1; 1: 2; 2: 3; 3: 8; 4: 10},  {0: 50; 1: 36; 2: 23},  0,  11 ,  0,  {'index': 4},  0, 0, 4 

Ricart-Agrawala.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

mux_sem.in, safe,  163.172,  67.307,  69.929,  111.086,  49.698,  0.025,  21.903,  239,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 4; 5: 4; 6: 7; 7: 4; 8: 8; 9: 5; 10: 11},  {0: 19; 1: 19; 2: 19; 3: 31; 4: 47; 5: 47; 6: 31; 7: 31; 8: 18; 9: 17},  1,  3 ,  7,  {'index': 2},  8, 0, 11 

Fischer_buggy.in, unsafe,  241.787,  27.072,  141.428,  213.880,  22.248,  0.223,  64.468,  293,  {0: 1; 1: 2; 2: 2; 3: 4; 4: 6; 5: 6; 6: 20; 7: 21; 8: 7},  {0: 25; 1: 25; 2: 25; 3: 27; 4: 27; 5: 27; 6: 25; 7: 27},  2,  5 ,  0,  {'index': 2},  0, 0, 8 

german_ca.in, safe,  8.086,  3.839,  0.914,  3.893,  3.616,  0.060,  0.142,  281,  {0: 1; 1: 2; 2: 2; 3: 2; 4: 8; 5: 2; 6: 12; 7: 8; 8: 13; 9: 6},  {0: 9; 1: 10; 2: 10; 3: 11; 4: 12; 5: 12; 6: 12; 7: 12; 8: 12},  3,  8 ,  11,  {'index': 1},  0, 0, 10 

sequence_safe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  6 , 0, 0, 0, 0, 7 

ins-sort.in, ?,  0.034,  0.010,  0.000,  0.000,  0.000,  0.000,  0.000,  1,  {0: 1},  {0: 0},  0,  6 ,  0,  0,  0, 0, 1 

sz_fp_ver.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 12 

simple.in, safe,  0.477,  0.159,  0.075,  0.269,  0.075,  0.010,  0.023,  26,  {0: 1; 1: 1; 2: 2; 3: 2},  {0: 3; 1: 4; 2: 4},  2,  2 ,  4,  {'index': 1},  0, 0, 4 

converging_safe_5_a2_b0-src_a2-dst_b0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 5 

bakery_bogus.in, unsafe,  2569.755,  527.460,  1540.375,  2415.647,  62.057,  0.246,  477.462,  466,  {0: 1; 1: 2; 2: 3; 3: 16; 4: 12; 5: 40; 6: 86},  {0: 22; 1: 48; 2: 48; 3: 48; 4: 48; 5: 48},  2,  6 ,  0,  {'index': 2},  0, 0, 6 

crash3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  10 , 0, 0, 0, 0, 13 

messenger_unsafe_3_a0_a3-src_a0-dst_a3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  15 , 0, 0, 0, 0, 13 

converging_safe_6_a3_b0-src_a3-dst_b0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 5 

sequence_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 5 

bw-bakery.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  10 , 0, 0, 0, 0, 6 

token_ring.in, safe,  44.081,  22.693,  14.872,  22.787,  19.399,  0.082,  4.213,  119,  {0: 1; 1: 1; 2: 2; 3: 8; 4: 7; 5: 2; 6: 1},  {0: 14; 1: 29; 2: 29; 3: 29; 4: 29; 5: 29},  2,  6 ,  14,  {'index': 2},  8, 1, 7 

sz_fp.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 12 

messenger_unsafe_1_a0_a1-src_a0-dst_a1.in, unsafe,  3.197,  1.224,  0.450,  1.758,  1.082,  0.030,  0.302,  80,  {0: 1; 1: 2; 2: 4; 3: 7; 4: 5},  {0: 15; 1: 9; 2: 9; 3: 7},  0,  7 ,  0,  {'index': 2},  0, 0, 5 

bakery.in, safe,  175.277,  90.835,  58.999,  91.916,  74.890,  0.068,  19.624,  253,  {0: 1; 1: 2; 2: 2; 3: 6; 4: 8; 5: 12; 6: 17; 7: 3},  {0: 17; 1: 17; 2: 31; 3: 31; 4: 31; 5: 31; 6: 31},  2,  4 ,  13,  {'index': 2},  11, 0, 8 

network_unsafe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 7 

converging_unsafe_6_a3_b0-src_a3-dst_b0.in, unsafe,  2904.234,  1318.240,  48.098,  2578.747,  323.841,  0.742,  1527.059,  73,  {0: 1; 1: 2; 2: 3; 3: 6; 4: 8; 5: 1},  {0: 58; 1: 42; 2: 27; 3: 27},  0,  13 ,  0,  {'index': 4},  0, 0, 5 

ring_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 5 

sequence_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  6 , 0, 0, 0, 0, 7 

sequence_safe_2_s_d-src_s-dst_d.in, safe,  381.954,  246.727,  108.528,  180.808,  200.175,  0.033,  24.026,  105,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 10; 5: 3; 6: 1},  {0: 59; 1: 59; 2: 59; 3: 33; 4: 14; 5: 14},  1,  2 ,  12,  {'index': 3},  7, 0, 7 

mux-sem-param.in, safe,  5.540,  1.936,  1.993,  3.681,  1.227,  0.018,  0.835,  62,  {0: 1; 1: 2; 2: 2; 3: 4; 4: 7},  {0: 10; 1: 16; 2: 16; 3: 16},  1,  4 ,  8,  {'index': 2},  4, 0, 5 

synapse.in, safe,  3.018,  1.275,  0.922,  1.631,  1.021,  0.029,  0.331,  40,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 2; 5: 1},  {0: 9; 1: 15; 2: 15; 3: 15; 4: 15},  1,  3 ,  6,  {'index': 3},  5, 0, 6 

network_safe_2_d_e-src_d-dst_e.in, safe,  2032.294,  514.913,  1171.992,  1700.907,  326.257,  0.000,  329.838,  213,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4; 5: 12; 6: 15; 7: 7; 8: 5},  {0: 73; 1: 73; 2: 73; 3: 73; 4: 48; 5: 48; 6: 28; 7: 13},  0,  10 ,  10,  0,  12, 0, 9 

network_safe_4_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  16 , 0, 0, 0, 0, 7 

csm.in, safe,  0.217,  0.052,  0.047,  0.087,  0.036,  0.000,  0.002,  5,  {0: 1; 1: 1},  {0: 16},  0,  16 ,  16,  0,  2, 0, 2 

network_safe_1_d_e-src_d-dst_e.in, safe,  73.261,  21.593,  37.908,  59.747,  12.849,  0.000,  10.619,  104,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 7; 5: 7; 6: 5},  {0: 33; 1: 33; 2: 33; 3: 33; 4: 20; 5: 10},  0,  7 ,  7,  0,  8, 0, 7 

messenger_unsafe_2_a0_a2-src_a0-dst_a2.in, unsafe,  138.497,  89.910,  9.131,  50.918,  81.746,  0.146,  17.133,  693,  {0: 1; 1: 7; 2: 8; 3: 15; 4: 16; 5: 37; 6: 13; 7: 16; 8: 15; 9: 5; 10: 3},  {0: 32; 1: 23; 2: 23; 3: 23; 4: 23; 5: 23; 6: 15; 7: 15; 8: 15; 9: 12},  0,  11 ,  0,  {'index': 3},  0, 0, 10 

network_safe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  22 , 0, 0, 0, 0, 6 

messenger_unsafe_4_a0_a4-src_a0-dst_a4.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 9 

messenger_safe_2_a0_a2-src_a0-dst_a2.in, safe,  666.143,  483.416,  35.018,  215.217,  439.311,  0.000,  89.544,  1301,  {0: 1; 1: 6; 2: 8; 3: 22; 4: 5; 5: 15; 6: 46; 7: 50; 8: 18; 9: 58; 10: 5},  {0: 36; 1: 36; 2: 36; 3: 36; 4: 36; 5: 27; 6: 27; 7: 27; 8: 19; 9: 14},  0,  11 ,  11,  0,  7, 0, 11 

Fischer_U.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  4 , 0, 0, 0, 43, 6 

converging_safe_1_a0_b0-src_a0-dst_b0.in, safe,  0.192,  0.063,  0.036,  0.079,  0.041,  0.000,  0.002,  8,  {0: 1; 1: 2},  {0: 3},  0,  3 ,  3,  0,  2, 0, 2 

dijkstra_1.in, safe,  68.534,  23.744,  32.861,  48.843,  15.326,  0.029,  9.072,  134,  {0: 1; 1: 1; 2: 1; 3: 6; 4: 8; 5: 6; 6: 10},  {0: 13; 1: 25; 2: 25; 3: 25; 4: 25; 5: 25},  1,  5 ,  11,  {'index': 2},  10, 0, 7 

converging_unsafe_2_a1_b0-src_a1-dst_b0.in, unsafe,  5.600,  0.907,  0.477,  4.864,  0.494,  0.071,  3.506,  26,  {0: 1; 1: 1; 2: 3; 3: 3},  {0: 18; 1: 11; 2: 5},  0,  5 ,  0,  {'index': 3},  0, 0, 3 

swim.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

tricky.in, safe,  0.091,  0.029,  0.013,  0.027,  0.014,  0.000,  0.001,  5,  {0: 1; 1: 1},  {0: 2},  0,  2 ,  2,  0,  1, 0, 2 

Fischer_0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4,  5 , 0, 0, 0, 35, 8 

MIS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ticket.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4,  5 , 0, 0, 0, 0, 9 

filter-simple.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ring_safe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 5 

converging_safe_4_a2_b0-src_a2-dst_b0.in, safe,  56.029,  13.469,  2.625,  49.252,  6.444,  0.000,  38.202,  38,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 4},  {0: 42; 1: 30; 2: 19; 3: 9},  0,  9 ,  9,  0,  5, 0, 5 

Fischer_from_tutorial.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

order.in, safe,  104.577,  56.301,  38.023,  52.079,  47.977,  0.000,  7.359,  176,  {0: 1; 1: 2; 2: 3; 3: 4; 4: 4; 5: 6; 6: 4; 7: 3; 8: 4},  {0: 21; 1: 21; 2: 21; 3: 21; 4: 21; 5: 21; 6: 21; 7: 21},  0,  8 ,  8,  0,  8, 0, 9 

german_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 7 

arp_unsafe_1.in, unsafe,  2.447,  0.749,  0.489,  1.709,  0.430,  0.034,  0.279,  48,  {0: 1; 1: 2; 2: 8; 3: 5},  {0: 18; 1: 11},  0,  11 ,  0,  {'index': 2},  0, 0, 3 

crash.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

converging_unsafe_4_a2_b0-src_a2-dst_b0.in, unsafe,  513.035,  81.966,  324.124,  476.928,  35.503,  0.226,  102.655,  60,  {0: 1; 1: 2; 2: 3; 3: 8; 4: 5},  {0: 42; 1: 30; 2: 19},  0,  9 ,  0,  {'index': 3},  0, 0, 4 

sendOmission.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 7 

sequence_unsafe_1_s_d-src_s-dst_d.in, unsafe,  0.219,  0.060,  0.034,  0.140,  0.015,  0.007,  0.025,  10,  {0: 1; 1: 1; 2: 1},  {0: 5},  0,  1 ,  0,  {'index': 2},  0, 0, 2 

converging_unsafe_1_a0_b0-src_a0-dst_b0.in, unsafe,  0.424,  0.121,  0.039,  0.255,  0.061,  0.019,  0.107,  11,  {0: 1; 1: 2},  {0: 3},  0,  3 ,  0,  {'index': 2},  0, 0, 2 

network_safe_3_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 7 

illinois.in, safe,  43.314,  17.021,  17.067,  30.569,  11.978,  0.031,  8.007,  79,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 5; 5: 4},  {0: 21; 1: 24; 2: 24; 3: 24; 4: 13},  1,  4 ,  5,  {'index': 3},  6, 0, 6 

german_07_harder_2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 8 

network_unsafe_1_d_e-src_d-dst_e.in, unsafe,  15.442,  4.403,  5.379,  13.290,  1.850,  0.084,  4.593,  36,  {0: 1; 1: 1; 2: 3; 3: 4},  {0: 32; 1: 19; 2: 9},  0,  7 ,  0,  {'index': 3},  0, 0, 4 

mesi_ca.in, safe,  0.942,  0.329,  0.148,  0.457,  0.274,  0.006,  0.021,  56,  {0: 1; 1: 1; 2: 1; 3: 9; 4: 3},  {0: 6; 1: 6; 2: 6; 3: 6},  1,  4 ,  6,  {'index': 1},  0, 0, 5 

converging_unsafe_3_a1_b0-src_a1-dst_b0.in, unsafe,  33.880,  7.954,  1.035,  28.208,  5.333,  0.128,  23.505,  31,  {0: 1; 1: 2; 2: 3; 3: 4},  {0: 24; 1: 15},  0,  7 ,  0,  {'index': 3},  0, 0, 3 

carverS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ring_safe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  6 , 0, 0, 0, 0, 7 

German.in, safe,  1.050,  0.431,  0.173,  0.358,  0.494,  0.000,  0.009,  27,  {0: 1; 1: 6},  {0: 10},  0,  10 ,  10,  0,  3, 0, 3 

jml.in, safe,  302.484,  102.710,  148.258,  229.862,  68.044,  0.023,  45.072,  326,  {0: 1; 1: 2; 2: 3; 3: 3; 4: 5; 5: 12; 6: 10; 7: 11; 8: 18; 9: 9},  {0: 38; 1: 38; 2: 38; 3: 38; 4: 25; 5: 25; 6: 25; 7: 15; 8: 14},  1,  5 ,  7,  {'index': 2},  5, 0, 10 

sequence_safe_1_s_d-src_s-dst_d.in, safe,  12.867,  3.532,  7.248,  10.170,  2.376,  0.110,  1.236,  43,  {0: 1; 1: 1; 2: 3; 3: 2; 4: 3},  {0: 13; 1: 101; 2: 53; 3: 20},  2,  1 ,  18,  {'index': 4},  5, 0, 5 

network_safe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 6 

illinois_ca.in, safe,  2.713,  1.125,  0.380,  1.080,  1.233,  0.010,  0.041,  127,  {0: 1; 1: 4; 2: 3; 3: 10; 4: 6; 5: 4},  {0: 9; 1: 9; 2: 9; 3: 9; 4: 9},  1,  6 ,  9,  {'index': 1},  0, 0, 6 

system.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

german_07_harder_1.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 7 

szymanski+.in, safe,  320.453,  141.884,  137.450,  212.121,  97.639,  0.033,  34.763,  233,  {0: 1; 1: 1; 2: 1; 3: 8; 4: 8; 5: 19; 6: 14},  {0: 11; 1: 29; 2: 29; 3: 29; 4: 29; 5: 29},  1,  4 ,  13,  {'index': 2},  11, 0, 7 

messenger_safe_1_a0_a1-src_a0-dst_a1.in, safe,  3.912,  1.581,  0.719,  2.168,  1.395,  0.000,  0.271,  84,  {0: 1; 1: 3; 2: 4; 3: 13; 4: 3},  {0: 17; 1: 11; 2: 11; 3: 8},  0,  7 ,  7,  0,  5, 0, 5 

