name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

converging_safe_2_a1_b0-src_a1-dst_b0.in, safe,  0.578,  0.171,  0.161,  0.341,  0.139,  0.000,  0.033,  69,  {0: 1; 1: 1; 2: 2},  {0: 11; 1: 5},  0,  5 ,  5,  0,  2, 0, 3 

dijkstra0.in, safe,  79.540,  48.881,  22.145,  54.138,  22.745,  0.032,  4.789,  567,  {0: 1; 1: 2; 2: 2; 3: 9; 4: 6; 5: 8; 6: 9},  {0: 12; 1: 20; 2: 20; 3: 20; 4: 20; 5: 20},  1,  5 ,  9,  {'index': 2},  8, 0, 7 

sequence_safe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 6 

crash2.in, safe,  3601.838,  1381.028,  1848.290,  2823.083,  687.647,  0.238,  342.627,  3222,  {0: 1; 1: 2; 2: 1; 3: 2; 4: 8; 5: 13; 6: 17; 7: 7; 8: 7; 9: 54; 10: 19},  {0: 32; 1: 32; 2: 32; 3: 38; 4: 38; 5: 33; 6: 38; 7: 38; 8: 38; 9: 24},  2,  8 ,  12,  {'index': 2},  8, 0, 11 

system_1.in, safe,  0.495,  0.158,  0.153,  0.235,  0.160,  0.000,  0.004,  38,  {0: 1; 1: 3; 2: 1},  {0: 7; 1: 7},  0,  7 ,  7,  0,  0, 0, 3 

ring_unsafe_2_s_d-src_s-dst_d.in, unsafe,  98.439,  37.388,  43.785,  86.067,  11.846,  0.178,  14.986,  405,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 8; 5: 4},  {0: 41; 1: 41; 2: 41; 3: 25},  1,  2 ,  0,  {'index': 4},  0, 0, 5 

moesi_ca.in, safe,  1.433,  0.435,  0.201,  0.500,  0.700,  0.010,  0.017,  147,  {0: 1; 1: 1; 2: 1; 3: 12; 4: 2},  {0: 8; 1: 8; 2: 8; 3: 8},  1,  6 ,  8,  {'index': 1},  0, 0, 5 

arp_safe_0.in, safe,  45.350,  19.326,  21.584,  29.855,  13.268,  0.026,  0.781,  414,  {0: 1; 1: 4; 2: 21; 3: 8},  {0: 15; 1: 15; 2: 15},  1,  11 ,  15,  {'index': 2},  5, 0, 5 

burns.in, safe,  632.981,  474.551,  113.521,  323.872,  302.295,  0.181,  29.381,  1617,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3; 5: 5; 6: 17; 7: 19; 8: 12; 9: 19; 10: 2},  {0: 19; 1: 19; 2: 19; 3: 19; 4: 19; 5: 19; 6: 19; 7: 19; 8: 33; 9: 33},  2,  4 ,  13,  {'index': 2},  9, 0, 12 

ring_unsafe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  5 , 0, 0, 0, 0, 6 

reader.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

bakery_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  6 , 0, 0, 0, 0, 7 

system_3.in, safe,  0.957,  0.349,  0.236,  0.420,  0.434,  0.000,  0.009,  64,  {0: 1; 1: 1; 2: 2; 3: 3},  {0: 8; 1: 8; 2: 8},  0,  8 ,  8,  0,  0, 0, 5 

ring_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  6 , 0, 0, 0, 0, 7 

bakery_e.in, safe,  24.407,  7.037,  12.864,  20.317,  2.530,  0.025,  2.730,  164,  {0: 1; 1: 1; 2: 1; 3: 9; 4: 8; 5: 4},  {0: 12; 1: 21; 2: 21; 3: 21; 4: 21},  1,  5 ,  10,  {'index': 2},  7, 0, 6 

converging_unsafe_5_a2_b0-src_a2-dst_b0.in, unsafe,  84.580,  68.279,  7.155,  16.835,  66.752,  0.484,  4.221,  861,  {0: 1; 1: 1; 2: 5; 3: 5},  {0: 36; 1: 23; 2: 11},  0,  11 ,  0,  {'index': 4},  0, 0, 4 

Ricart-Agrawala.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

mux_sem.in, safe,  40.523,  17.810,  15.734,  28.356,  11.219,  0.026,  4.935,  272,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 4; 5: 4; 6: 8; 7: 5; 8: 5},  {0: 19; 1: 19; 2: 35; 3: 35; 4: 22; 5: 22; 6: 12; 7: 11},  1,  3 ,  4,  {'index': 2},  5, 0, 9 

Fischer_buggy.in, unsafe,  246.085,  124.741,  88.747,  226.232,  16.220,  0.136,  23.990,  1155,  {0: 1; 1: 3; 2: 3; 3: 5; 4: 9; 5: 13; 6: 24; 7: 29; 8: 1},  {0: 17; 1: 17; 2: 17; 3: 17; 4: 17; 5: 17; 6: 17},  1,  5 ,  0,  {'index': 2},  0, 0, 8 

german_ca.in, safe,  8.749,  3.779,  0.915,  2.678,  5.344,  0.104,  0.064,  929,  {0: 1; 1: 3; 2: 2; 3: 2; 4: 4; 5: 2; 6: 11; 7: 12; 8: 11; 9: 3},  {0: 9; 1: 10; 2: 10; 3: 11; 4: 12; 5: 12; 6: 12; 7: 12; 8: 12},  3,  8 ,  11,  {'index': 1},  0, 0, 10 

sequence_safe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  6 , 0, 0, 0, 0, 7 

ins-sort.in, ?,  0.038,  0.012,  0.000,  0.000,  0.000,  0.000,  0.000,  1,  {0: 1},  {0: 0},  0,  6 ,  0,  0,  0, 0, 1 

sz_fp_ver.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  4 , 0, 0, 0, 0, 11 

simple.in, safe,  0.438,  0.111,  0.075,  0.226,  0.079,  0.013,  0.013,  45,  {0: 1; 1: 1; 2: 2; 3: 2},  {0: 3; 1: 4; 2: 4},  2,  2 ,  4,  {'index': 1},  0, 0, 4 

converging_safe_5_a2_b0-src_a2-dst_b0.in, safe,  80.092,  25.565,  45.671,  55.324,  24.204,  0.000,  4.410,  914,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 4; 5: 5},  {0: 65; 1: 50; 2: 36; 3: 23; 4: 11},  0,  11 ,  11,  0,  6, 0, 6 

bakery_bogus.in, unsafe,  2194.243,  900.917,  1049.759,  2050.169,  73.226,  0.274,  223.073,  1339,  {0: 1; 1: 4; 2: 4; 3: 12; 4: 23; 5: 34; 6: 71},  {0: 20; 1: 29; 2: 29; 3: 29; 4: 29; 5: 29},  2,  6 ,  0,  {'index': 2},  0, 0, 6 

crash3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  10 , 0, 0, 0, 0, 13 

messenger_unsafe_3_a0_a3-src_a0-dst_a3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  15 , 0, 0, 0, 0, 14 

converging_safe_6_a3_b0-src_a3-dst_b0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 6 

sequence_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 5 

bw-bakery.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  10 , 0, 0, 0, 0, 6 

token_ring.in, safe,  79.310,  39.756,  32.164,  46.478,  28.851,  0.075,  4.263,  241,  {0: 1; 1: 1; 2: 1; 3: 7; 4: 7; 5: 6; 6: 2},  {0: 14; 1: 31; 2: 31; 3: 31; 4: 31; 5: 31},  2,  6 ,  15,  {'index': 2},  11, 0, 7 

sz_fp.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 12 

messenger_unsafe_1_a0_a1-src_a0-dst_a1.in, unsafe,  2.675,  0.858,  0.465,  1.252,  1.050,  0.037,  0.126,  324,  {0: 1; 1: 3; 2: 3; 3: 7; 4: 2; 5: 1},  {0: 15; 1: 9; 2: 9; 3: 7; 4: 7},  0,  7 ,  0,  {'index': 2},  0, 0, 5 

bakery.in, safe,  83.288,  44.984,  27.519,  51.775,  27.119,  0.082,  6.546,  495,  {0: 1; 1: 2; 2: 2; 3: 4; 4: 8; 5: 10; 6: 13; 7: 3},  {0: 13; 1: 13; 2: 13; 3: 21; 4: 21; 5: 21; 6: 21},  2,  4 ,  9,  {'index': 2},  10, 0, 8 

network_unsafe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 6 

