name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

converging_safe_2_a1_b0-src_a1-dst_b0.in, safe,  0.748,  0.161,  0.210,  0.539,  0.094,  0.000,  0.069,  114,  {0: 1; 1: 1; 2: 4},  {0: 11; 1: 5},  0,  5 ,  5,  0,  3, 0, 3 

dijkstra0.in, safe,  78.482,  48.267,  21.837,  53.415,  22.448,  0.032,  4.724,  567,  {0: 1; 1: 2; 2: 2; 3: 9; 4: 6; 5: 8; 6: 9},  {0: 12; 1: 20; 2: 20; 3: 20; 4: 20; 5: 20},  1,  5 ,  9,  {'index': 2},  8, 0, 7 

sequence_safe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 6 

crash2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  8 , 0, 0, 0, 0, 10 

system_1.in, safe,  0.479,  0.152,  0.151,  0.231,  0.154,  0.000,  0.004,  38,  {0: 1; 1: 3; 2: 1},  {0: 7; 1: 7},  0,  7 ,  7,  0,  0, 0, 3 

ring_unsafe_2_s_d-src_s-dst_d.in, unsafe,  145.686,  57.576,  62.635,  127.224,  17.887,  0.183,  22.747,  470,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 10; 5: 5},  {0: 41; 1: 41; 2: 41; 3: 25},  1,  2 ,  0,  {'index': 4},  0, 0, 5 

moesi_ca.in, safe,  1.418,  0.432,  0.198,  0.494,  0.695,  0.011,  0.017,  147,  {0: 1; 1: 1; 2: 1; 3: 12; 4: 2},  {0: 8; 1: 8; 2: 8; 3: 8},  1,  6 ,  8,  {'index': 1},  0, 0, 5 

arp_safe_0.in, safe,  34.064,  13.809,  16.720,  22.848,  9.552,  0.026,  0.574,  347,  {0: 1; 1: 4; 2: 13; 3: 9; 4: 2},  {0: 15; 1: 15; 2: 15; 3: 15},  1,  11 ,  15,  {'index': 2},  7, 0, 5 

burns.in, safe,  627.539,  470.176,  112.790,  321.854,  298.938,  0.184,  29.112,  1617,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3; 5: 5; 6: 17; 7: 19; 8: 12; 9: 19; 10: 2},  {0: 19; 1: 19; 2: 19; 3: 19; 4: 19; 5: 19; 6: 19; 7: 19; 8: 33; 9: 33},  2,  4 ,  13,  {'index': 2},  9, 0, 12 

ring_unsafe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  5 , 0, 0, 0, 0, 6 

reader.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

bakery_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  6 , 0, 0, 0, 0, 7 

system_3.in, safe,  0.950,  0.346,  0.234,  0.417,  0.428,  0.000,  0.009,  64,  {0: 1; 1: 1; 2: 2; 3: 3},  {0: 8; 1: 8; 2: 8},  0,  8 ,  8,  0,  0, 0, 5 

ring_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  6 , 0, 0, 0, 0, 7 

bakery_e.in, safe,  25.620,  7.150,  13.452,  21.107,  3.124,  0.027,  3.038,  182,  {0: 1; 1: 1; 2: 3; 3: 11; 4: 11},  {0: 12; 1: 21; 2: 21; 3: 21},  1,  5 ,  10,  {'index': 2},  6, 0, 6 

converging_unsafe_5_a2_b0-src_a2-dst_b0.in, unsafe,  84.202,  67.914,  7.136,  16.814,  66.393,  0.485,  4.235,  861,  {0: 1; 1: 1; 2: 5; 3: 5},  {0: 36; 1: 23; 2: 11},  0,  11 ,  0,  {'index': 4},  0, 0, 4 

