name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

manually-translated, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

learning_switch.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 3 

consensus_forall.vmt, safe,  3398.336,  538.240,  1499.904,  2976.954,  395.977,  0.000,  1333.822,  629,  {0: 1; 1: 1; 2: 2; 3: 6; 4: 6; 5: 21; 6: 7; 7: 27; 8: 41; 9: 8},  {0: 25; 1: 52; 2: 52; 3: 52; 4: 52; 5: 52; 6: 52; 7: 52; 8: 20},  0,  0 ,  0,  0,  16, 0, 10 

distributed_lock.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6,  0 , 0, 0, 0, 18, 5 

toy_consensus_epr.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 29, 4 

consensus_epr.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 8 

simple-election.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 25, 6 

ring_id.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4,  0 , 0, 0, 0, 26, 4 

distributed_lock_abstract.vmt, safe,  764.410,  237.641,  371.819,  509.210,  212.717,  0.000,  136.783,  817,  {0: 1; 1: 1; 2: 1; 3: 5; 4: 10; 5: 15; 6: 12; 7: 14; 8: 22; 9: 29; 10: 24; 11: 25; 12: 22},  {0: 22; 1: 22; 2: 48; 3: 31; 4: 31; 5: 31; 6: 31; 7: 22; 8: 31; 9: 22; 10: 11; 11: 11},  0,  0 ,  0,  0,  9, 0, 13 

Simple.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ticket.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 11 

hybrid_reliable_broadcast.vmt, unsafe,  10.937,  2.511,  0.750,  10.669,  0.082,  0.021,  7.268,  18,  {0: 1; 1: 1; 2: 5},  {0: 33},  0,  0 ,  0,  {'node': 2, 'quorum_a': 2, 'quorum_b': 2},  0, 0, 2 

Ricart-Agrawala.vmt, safe,  1.346,  0.492,  0.245,  0.671,  0.457,  0.000,  0.148,  48,  {0: 1; 1: 1; 2: 1; 3: 4; 4: 4},  {0: 11; 1: 11; 2: 11; 3: 7},  0,  0 ,  0,  0,  3, 0, 6 

quorum-leader-election.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 9, 4 

lockserv_automaton.vmt, safe,  8.226,  2.424,  1.692,  6.066,  1.707,  0.000,  1.795,  217,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 5; 5: 3; 6: 10; 7: 8; 8: 10; 9: 10; 10: 12},  {0: 10; 1: 10; 2: 10; 3: 10; 4: 10; 5: 10; 6: 10; 7: 10; 8: 10; 9: 3},  0,  0 ,  0,  0,  3, 0, 11 

ring_id_not_dead_limited.vmt, unsafe,  0.331,  0.084,  0.000,  0.242,  0.000,  0.011,  0.168,  3,  {0: 1},  {0: 0},  0,  0 ,  0,  {'id': 2, 'node': 2},  0, 0, 1 

blockchain.vmt, safe,  9.238,  2.520,  2.033,  2.892,  2.121,  0.000,  3.569,  68,  {0: 1; 1: 3; 2: 4; 3: 4; 4: 3},  {0: 19; 1: 19; 2: 14; 3: 16},  0,  0 ,  0,  0,  12, 0, 5 

TwoPhase.vmt, safe,  89.453,  43.199,  26.335,  48.678,  37.023,  0.000,  14.667,  345,  {0: 1; 1: 1; 2: 5; 3: 5; 4: 8; 5: 13; 6: 27; 7: 9; 8: 1},  {0: 18; 1: 18; 2: 18; 3: 18; 4: 18; 5: 18; 6: 18; 7: 18},  0,  0 ,  0,  0,  6, 0, 9 

toy_consensus_forall.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 23, 4 

ring_id_not_dead.vmt, unsafe,  0.246,  0.059,  0.000,  0.171,  0.000,  0.009,  0.125,  3,  {0: 1},  {0: 0},  0,  0 ,  0,  {'id': 2, 'node': 1},  0, 0, 1 

two_phase_commit.vmt, safe,  4.775,  1.854,  1.007,  2.289,  1.460,  0.000,  0.609,  120,  {0: 1; 1: 2; 2: 4; 3: 14; 4: 8; 5: 3},  {0: 16; 1: 16; 2: 8; 3: 16; 4: 8},  0,  0 ,  0,  0,  7, 0, 6 

client_server_db_ae.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 1 

majorityset-leader-election.vmt, safe,  0.995,  0.195,  0.253,  0.783,  0.084,  0.000,  0.281,  22,  {0: 1; 1: 1; 2: 1; 3: 5},  {0: 20; 1: 20; 2: 7},  0,  0 ,  0,  0,  3, 0, 4 

client_server_ae.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 1 

simple-decentralized-lock.vmt, safe,  16.568,  4.439,  1.809,  13.086,  3.027,  0.000,  7.401,  216,  {0: 1; 1: 1; 2: 4; 3: 11; 4: 12; 5: 16; 6: 17},  {0: 26; 1: 26; 2: 26; 3: 26; 4: 15; 5: 3},  0,  0 ,  0,  0,  4, 0, 7 

Consensus.vmt, safe,  0.083,  0.025,  0.011,  0.024,  0.011,  0.000,  0.003,  5,  {0: 1; 1: 1},  {0: 3},  0,  0 ,  0,  0,  1, 0, 2 

distributed_lock_maxheld.vmt, ?,  0.025,  0.007,  0.000,  0.000,  0.000,  0.000,  0.000,  1,  {0: 1},  {0: 0},  0,  0 ,  0,  0,  0, 0, 1 

consensus_wo_decide.vmt, safe,  575.591,  103.707,  273.383,  485.616,  71.606,  0.000,  191.247,  264,  {0: 1; 1: 1; 2: 1; 3: 8; 4: 11; 5: 15; 6: 14; 7: 3},  {0: 45; 1: 45; 2: 45; 3: 45; 4: 45; 5: 45; 6: 15},  0,  0 ,  0,  0,  12, 0, 8 

lock_server.vmt, safe,  0.188,  0.054,  0.032,  0.092,  0.024,  0.000,  0.017,  11,  {0: 1; 1: 1; 2: 2},  {0: 4; 1: 3},  0,  0 ,  0,  0,  2, 0, 3 

ring_not_dead.vmt, unsafe,  0.204,  0.078,  0.000,  0.134,  0.000,  0.009,  0.054,  3,  {0: 1},  {0: 0},  0,  0 ,  0,  {'node': 2},  0, 0, 1 

sharded_kv.vmt, safe,  6.438,  1.578,  1.625,  3.920,  1.256,  0.000,  1.790,  112,  {0: 1; 1: 3; 2: 6; 3: 6; 4: 10; 5: 6},  {0: 7; 1: 12; 2: 12; 3: 7; 4: 6},  0,  0 ,  0,  0,  8, 0, 6 

TCommit.vmt, safe,  0.502,  0.164,  0.088,  0.242,  0.133,  0.000,  0.042,  25,  {0: 1; 1: 1; 2: 4; 3: 1},  {0: 9; 1: 5; 2: 9},  0,  0 ,  0,  0,  4, 0, 4 

firewall.vmt, unsafe,  0.244,  0.057,  0.027,  0.155,  0.012,  0.008,  0.045,  10,  {0: 1; 1: 1; 2: 1},  {0: 9},  0,  0 ,  0,  {'node': 3},  0, 0, 2 

lockserv.vmt, safe,  8.121,  2.788,  1.409,  5.314,  2.344,  0.000,  1.621,  226,  {0: 1; 1: 1; 2: 1; 3: 5; 4: 4; 5: 5; 6: 8; 7: 7; 8: 8; 9: 9; 10: 10},  {0: 10; 1: 10; 2: 10; 3: 10; 4: 10; 5: 10; 6: 10; 7: 10; 8: 10; 9: 3},  0,  0 ,  0,  0,  3, 0, 11 

toy_consensus.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 29, 4 

leader_election_in_ring.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 0, 5 

database_chain_replication.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 3 

sharded_kv_no_lost_keys.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 1 

chord_ring_maintenance.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4,  0 , 0, 0, 0, 9, 2 

SimpleRegular.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

decentralized-lock.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4,  0 , 0, 0, 0, 1, 8 

ring.vmt, safe,  48.431,  29.058,  10.984,  20.309,  25.594,  0.000,  6.829,  90,  {0: 1; 1: 1; 2: 3; 3: 7; 4: 7; 5: 1},  {0: 60; 1: 60; 2: 23; 3: 15; 4: 19},  0,  0 ,  0,  0,  7, 0, 6 

decentralized-lock_abstract.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 7 

