name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

manually-translated, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

learning_switch.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 3 

consensus_forall.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 8 

distributed_lock.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  0 , 0, 0, 0, 0, 5 

toy_consensus_epr.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 28, 4 

consensus_epr.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 8 

simple-election.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 15, 6 

ring_id.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6,  0 , 0, 0, 0, 30, 4 

distributed_lock_abstract.vmt, safe,  813.959,  258.785,  380.209,  522.306,  249.503,  0.000,  149.974,  1089,  {0: 1; 1: 1; 2: 1; 3: 5; 4: 10; 5: 14; 6: 16; 7: 12; 8: 20; 9: 26; 10: 28; 11: 25; 12: 27},  {0: 22; 1: 22; 2: 48; 3: 31; 4: 31; 5: 31; 6: 31; 7: 22; 8: 22; 9: 22; 10: 11; 11: 11},  0,  0 ,  0,  0,  10, 0, 13 

Simple.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ticket.vmt, safe,  1532.998,  436.482,  722.975,  1132.670,  374.855,  0.000,  358.367,  861,  {0: 1; 1: 1; 2: 1; 3: 12; 4: 9; 5: 8; 6: 14; 7: 24; 8: 23; 9: 10},  {0: 22; 1: 58; 2: 58; 3: 42; 4: 42; 5: 34; 6: 34; 7: 22; 8: 10},  0,  0 ,  0,  0,  7, 0, 10 

hybrid_reliable_broadcast.vmt, unsafe,  7.662,  2.086,  0.545,  7.160,  0.299,  0.022,  4.580,  103,  {0: 1; 1: 1; 2: 5},  {0: 33},  0,  0 ,  0,  {'node': 2, 'quorum_a': 2, 'quorum_b': 2},  0, 0, 2 

Ricart-Agrawala.vmt, safe,  1.324,  0.322,  0.340,  0.779,  0.333,  0.000,  0.177,  81,  {0: 1; 1: 1; 2: 1; 3: 6; 4: 4},  {0: 11; 1: 11; 2: 11; 3: 7},  0,  0 ,  0,  0,  6, 0, 5 

quorum-leader-election.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 7, 4 

lockserv_automaton.vmt, safe,  7.437,  1.498,  1.662,  5.047,  1.910,  0.000,  1.659,  534,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 5; 5: 3; 6: 10; 7: 8; 8: 11; 9: 10; 10: 12},  {0: 10; 1: 10; 2: 10; 3: 10; 4: 10; 5: 10; 6: 10; 7: 10; 8: 10; 9: 3},  0,  0 ,  0,  0,  3, 0, 11 

ring_id_not_dead_limited.vmt, unsafe,  0.279,  0.072,  0.000,  0.192,  0.000,  0.012,  0.127,  3,  {0: 1},  {0: 0},  0,  0 ,  0,  {'id': 2, 'node': 2},  0, 0, 1 

blockchain.vmt, safe,  8.555,  1.969,  2.109,  2.840,  1.829,  0.000,  3.359,  141,  {0: 1; 1: 3; 2: 4; 3: 4; 4: 3},  {0: 19; 1: 19; 2: 14; 3: 16},  0,  0 ,  0,  0,  11, 0, 5 

TwoPhase.vmt, safe,  106.260,  38.281,  49.318,  70.177,  33.008,  0.000,  12.830,  905,  {0: 1; 1: 1; 2: 5; 3: 5; 4: 7; 5: 15; 6: 21; 7: 19; 8: 2},  {0: 18; 1: 18; 2: 18; 3: 18; 4: 18; 5: 18; 6: 18; 7: 18},  0,  0 ,  0,  0,  6, 0, 9 

toy_consensus_forall.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 23, 4 

ring_id_not_dead.vmt, unsafe,  0.226,  0.052,  0.000,  0.145,  0.000,  0.008,  0.106,  3,  {0: 1},  {0: 0},  0,  0 ,  0,  {'id': 2, 'node': 1},  0, 0, 1 

two_phase_commit.vmt, safe,  4.227,  1.763,  0.750,  1.500,  1.881,  0.000,  0.368,  329,  {0: 1; 1: 2; 2: 5; 3: 12; 4: 9},  {0: 16; 1: 16; 2: 10; 3: 8},  0,  0 ,  0,  0,  7, 0, 6 

client_server_db_ae.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 1 

majorityset-leader-election.vmt, safe,  1.902,  0.189,  0.654,  1.666,  0.115,  0.000,  0.691,  53,  {0: 1; 1: 1; 2: 1; 3: 7},  {0: 28; 1: 20; 2: 7},  0,  0 ,  0,  0,  4, 0, 4 

client_server_ae.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 1 

simple-decentralized-lock.vmt, safe,  10.588,  2.066,  1.765,  7.773,  2.369,  0.000,  4.405,  277,  {0: 1; 1: 1; 2: 4; 3: 15; 4: 8; 5: 9; 6: 11},  {0: 26; 1: 26; 2: 26; 3: 26; 4: 15; 5: 3},  0,  0 ,  0,  0,  4, 0, 7 

Consensus.vmt, safe,  0.075,  0.019,  0.011,  0.018,  0.011,  0.000,  0.003,  5,  {0: 1; 1: 1},  {0: 3},  0,  0 ,  0,  0,  1, 0, 2 

distributed_lock_maxheld.vmt, ?,  0.026,  0.007,  0.000,  0.000,  0.000,  0.000,  0.000,  1,  {0: 1},  {0: 0},  0,  0 ,  0,  0,  0, 0, 1 

consensus_wo_decide.vmt, safe,  492.781,  100.855,  224.605,  394.768,  75.474,  0.000,  159.766,  482,  {0: 1; 1: 1; 2: 2; 3: 3; 4: 9; 5: 7; 6: 19; 7: 5; 8: 5},  {0: 45; 1: 45; 2: 45; 3: 45; 4: 45; 5: 45; 6: 20; 7: 16},  0,  0 ,  0,  0,  12, 0, 9 

lock_server.vmt, safe,  0.188,  0.038,  0.040,  0.085,  0.025,  0.000,  0.016,  14,  {0: 1; 1: 1; 2: 2},  {0: 4; 1: 3},  0,  0 ,  0,  0,  2, 0, 3 

ring_not_dead.vmt, unsafe,  0.159,  0.037,  0.000,  0.090,  0.000,  0.010,  0.050,  3,  {0: 1},  {0: 0},  0,  0 ,  0,  {'node': 2},  0, 0, 1 

sharded_kv.vmt, safe,  4.021,  0.607,  1.131,  2.495,  0.683,  0.000,  1.150,  138,  {0: 1; 1: 3; 2: 6; 3: 6; 4: 10},  {0: 7; 1: 12; 2: 12; 3: 6},  0,  0 ,  0,  0,  7, 0, 5 

TCommit.vmt, safe,  0.605,  0.157,  0.140,  0.287,  0.182,  0.000,  0.041,  49,  {0: 1; 1: 1; 2: 5; 3: 1},  {0: 9; 1: 5; 2: 9},  0,  0 ,  0,  0,  4, 0, 4 

firewall.vmt, unsafe,  0.288,  0.046,  0.044,  0.157,  0.026,  0.009,  0.046,  17,  {0: 1; 1: 2; 2: 1},  {0: 9},  0,  0 ,  0,  {'node': 3},  0, 0, 2 

lockserv.vmt, safe,  7.606,  1.909,  1.531,  4.741,  2.368,  0.000,  1.615,  550,  {0: 1; 1: 1; 2: 1; 3: 5; 4: 3; 5: 5; 6: 8; 7: 7; 8: 9; 9: 10; 10: 10},  {0: 10; 1: 10; 2: 10; 3: 10; 4: 10; 5: 10; 6: 10; 7: 10; 8: 10; 9: 3},  0,  0 ,  0,  0,  3, 0, 11 

toy_consensus.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  0 , 0, 0, 0, 29, 4 

leader_election_in_ring.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  0 , 0, 0, 0, 0, 5 

database_chain_replication.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 4 

sharded_kv_no_lost_keys.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 1 

chord_ring_maintenance.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  0 , 0, 0, 0, 7, 2 

SimpleRegular.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

decentralized-lock.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6,  0 , 0, 0, 0, 39, 5 

ring.vmt, safe,  49.140,  30.865,  9.898,  18.385,  28.471,  0.000,  6.487,  137,  {0: 1; 1: 1; 2: 3; 3: 7; 4: 8; 5: 1},  {0: 60; 1: 60; 2: 23; 3: 15; 4: 23},  0,  0 ,  0,  0,  9, 0, 6 

decentralized-lock_abstract.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 7 

