name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

flash_u_cnj_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  21 , 0, 0, 0, 0, 7 

chandra_suggested_inv_03.in, safe,  383.557,  383.507,  0.000,  0.000,  0.000,  0.000,  0.000,  2,  {0: 1},  {0: 0},  0,  12 ,  12,  0,  0, 0, 2 

flash_u_cnj_02.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  19 , 0, 0, 0, 0, 4 

german_baukus.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 6 

szymanski_at_unsafe.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  6 , 0, 0, 0, 0, 6 

chandra_suggested_inv_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  12 , 0, 0, 0, 0, 2 

flash_u_cnj_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  21 , 0, 0, 0, 0, 4 

bakery_lamport_nomax.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  6 , 0, 0, 0, 0, 7 

chandra_suggested_inv_04.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  12 , 0, 0, 0, 0, 2 

token_ring.in, safe,  5.543,  1.616,  2.878,  4.124,  0.947,  0.000,  0.557,  34,  {0: 1; 1: 2; 2: 1; 3: 3; 4: 3},  {0: 17; 1: 17; 2: 17; 3: 17},  0,  7 ,  7,  0,  7, 0, 5 

flash_u_cnj_00.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  21 , 0, 0, 0, 0, 2 

chandra_suggested_inv_05.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  12 , 0, 0, 0, 0, 2 

chandra_buggy.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 3 

bakery.in, safe,  3.064,  1.248,  1.007,  1.871,  0.902,  0.017,  0.368,  38,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 2},  {0: 9; 1: 9; 2: 19; 3: 19},  1,  3 ,  6,  {'index': 2},  6, 0, 5 

synapse.in, safe,  3.113,  1.270,  0.972,  1.714,  0.986,  0.028,  0.372,  39,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 2; 5: 1},  {0: 9; 1: 17; 2: 17; 3: 17; 4: 17},  1,  3 ,  7,  {'index': 3},  7, 0, 6 

