name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

flash_u_cnj_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  21 , 0, 0, 0, 0, 7 

chandra_suggested_inv_03.in, safe,  370.117,  370.059,  0.000,  0.000,  0.000,  0.000,  0.000,  2,  {0: 1},  {0: 0},  0,  12 ,  12,  0,  0, 0, 2 

flash_u_cnj_02.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  19 , 0, 0, 0, 0, 4 

german_baukus.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 6 

szymanski_at_unsafe.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  6 , 0, 0, 0, 0, 8 

chandra_suggested_inv_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  12 , 0, 0, 0, 0, 2 

flash_u_cnj_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  21 , 0, 0, 0, 0, 4 

bakery_lamport_nomax.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  6 , 0, 0, 0, 0, 7 

chandra_suggested_inv_04.in, safe,  3601.605,  17.539,  3583.777,  3601.324,  0.019,  0.000,  0.013,  32,  {0: 1; 1: 1},  {0: 27},  0,  12 ,  12,  0,  0, 0, 2 

token_ring.in, safe,  6.343,  2.299,  3.014,  4.091,  1.761,  0.000,  0.485,  46,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 1},  {0: 17; 1: 17; 2: 17; 3: 17},  0,  7 ,  7,  0,  7, 0, 5 

flash_u_cnj_00.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  21 , 0, 0, 0, 0, 2 

chandra_suggested_inv_05.in, safe,  3602.322,  3225.614,  374.805,  391.642,  3209.231,  0.000,  1.092,  179,  {0: 1; 1: 2; 2: 3},  {0: 30; 1: 27},  0,  12 ,  12,  0,  2, 0, 3 

chandra_buggy.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 2 

bakery.in, safe,  5.907,  2.738,  2.119,  3.272,  2.115,  0.023,  0.387,  66,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 2; 5: 1},  {0: 9; 1: 9; 2: 29; 3: 29; 4: 29},  1,  3 ,  11,  {'index': 2},  9, 0, 6 

