name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

flash_u_cnj_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  21 , 0, 0, 0, 0, 8 

chandra_suggested_inv_03.in, safe,  389.228,  389.178,  0.000,  0.000,  0.000,  0.000,  0.000,  2,  {0: 1},  {0: 0},  0,  12 ,  12,  0,  0, 0, 2 

flash_u_cnj_02.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  19 , 0, 0, 0, 0, 4 

german_baukus.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 7 

szymanski_at_unsafe.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  6 , 0, 0, 0, 0, 7 

chandra_suggested_inv_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  12 , 0, 0, 0, 0, 2 

flash_u_cnj_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  21 , 0, 0, 0, 0, 4 

bakery_lamport_nomax.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  6 , 0, 0, 0, 0, 6 

chandra_suggested_inv_04.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  12 , 0, 0, 0, 0, 2 

token_ring.in, safe,  7.634,  2.437,  3.882,  5.590,  1.532,  0.000,  0.678,  52,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 3},  {0: 17; 1: 17; 2: 17; 3: 17},  0,  7 ,  7,  0,  7, 0, 5 

flash_u_cnj_00.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  21 , 0, 0, 0, 0, 2 

chandra_suggested_inv_05.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  12 , 0, 0, 0, 0, 2 

chandra_buggy.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 2 

bakery.in, safe,  5.980,  2.772,  2.155,  3.310,  2.145,  0.024,  0.389,  66,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 2; 5: 1},  {0: 9; 1: 9; 2: 29; 3: 29; 4: 29},  1,  3 ,  11,  {'index': 2},  9, 0, 6 

synapse.in, safe,  1.330,  0.417,  0.444,  0.862,  0.238,  0.030,  0.171,  40,  {0: 1; 1: 1; 2: 1; 3: 2},  {0: 9; 1: 15; 2: 15},  1,  3 ,  6,  {'index': 3},  4, 0, 4 

ticket_buggy.in, unsafe,  2.956,  1.004,  1.050,  2.162,  0.497,  0.018,  0.484,  52,  {0: 1; 1: 1; 2: 1; 3: 5},  {0: 11; 1: 11; 2: 11},  0,  4 ,  0,  {'index': 2},  0, 0, 4 

flash_u_cnj_03.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  21 , 0, 0, 0, 0, 4 

flash_u_cnj_08.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  21 , 0, 0, 0, 0, 5 

ticket.in, safe,  133.244,  75.636,  45.343,  74.938,  51.917,  0.026,  8.709,  253,  {0: 1; 1: 2; 2: 1; 3: 8; 4: 20; 5: 1; 6: 2},  {0: 25; 1: 25; 2: 25; 3: 25; 4: 25; 5: 25},  1,  4 ,  9,  {'index': 2},  12, 0, 7 

flash_eager.in, safe,  0.562,  0.221,  0.210,  0.308,  0.144,  0.000,  0.021,  20,  {0: 1; 1: 1; 2: 1},  {0: 9; 1: 9},  0,  3 ,  3,  0,  3, 0, 3 

