name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames

sharded-kv.vmt, safe,  6.171,  1.695,  1.238,  3.533,  1.347,  0.000,  1.773,  118,  {0: 1; 1: 3; 2: 6; 3: 7; 4: 10; 5: 7},  {0: 7; 1: 12; 2: 12; 3: 12; 4: 6},  0,  0 ,  0,  0,  8, 0, 6 

paxos_forall_choosable.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

paxos_forall_choosable_unsafe.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  0 , 0, 0, 0, 0, 5 

consensus_unsafe2.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 9 

sharded-kv_unsafe.vmt, unsafe,  1.735,  0.397,  0.300,  1.079,  0.220,  0.008,  0.509,  43,  {0: 1; 1: 3; 2: 6; 3: 4},  {0: 7; 1: 6; 2: 3},  0,  0 ,  0,  {'key': 1, 'node': 2, 'value': 1},  0, 0, 3 

paxos_forall_choosable_unsafe_no_intersection.vmt, unsafe,  8.926,  1.487,  1.908,  7.492,  0.306,  0.026,  5.091,  16,  {0: 1; 1: 3; 2: 1},  {0: 35},  0,  0 ,  0,  {'node': 1, 'quorum': 2, 'round': 2, 'value': 2},  0, 0, 2 

paxos_forall_choosable_unsafe2.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 4 

paxos_forall.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 6 

stoppable_paxos_forall_choosable.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

consensus_unsafe.vmt, unsafe,  29.895,  4.068,  6.276,  27.303,  1.907,  0.025,  17.708,  90,  {0: 1; 1: 1; 2: 2; 3: 7; 4: 13; 5: 5},  {0: 26; 1: 26; 2: 26; 3: 26},  0,  0 ,  0,  {'node': 2, 'quorum': 2, 'value': 1},  0, 0, 5 

consensus.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 7 

cache_unsafe.vmt, unsafe,  14.286,  5.562,  0.939,  13.240,  0.077,  0.087,  6.761,  19,  {0: 1; 1: 1; 2: 4},  {0: 27; 1: 25},  1,  0 ,  0,  {'address': 1, 'core': 1, 'value': 2},  0, 0, 2 

lockserv.vmt, safe,  8.863,  3.114,  1.413,  5.760,  2.573,  0.000,  1.756,  233,  {0: 1; 1: 1; 2: 1; 3: 5; 4: 4; 5: 5; 6: 9; 7: 8; 8: 7; 9: 9; 10: 11},  {0: 10; 1: 10; 2: 10; 3: 10; 4: 10; 5: 10; 6: 10; 7: 10; 8: 10; 9: 3},  0,  0 ,  0,  0,  4, 0, 11 

stoppable_paxos_forall.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 4 

sharded-kv-retransmit_unsafe.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 4 

sharded-kv-retransmit.vmt, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  0 , 0, 0, 0, 0, 4 

sharded-kv_unsafe2.vmt, unsafe,  7.915,  2.197,  1.443,  5.127,  1.681,  0.010,  2.493,  128,  {0: 1; 1: 3; 2: 6; 3: 8; 4: 17},  {0: 7; 1: 12; 2: 12; 3: 6},  0,  0 ,  0,  {'key': 1, 'node': 1, 'value': 2},  0, 0, 5 

ring.vmt, safe,  492.930,  239.778,  154.989,  287.881,  196.929,  0.000,  91.581,  227,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 6; 5: 14; 6: 20; 7: 12},  {0: 106; 1: 106; 2: 51; 3: 51; 4: 51; 5: 19; 6: 15},  0,  0 ,  0,  0,  11, 0, 8 

cache.vmt, unsafe,  161.569,  122.559,  1.023,  158.199,  0.094,  0.808,  34.867,  29,  {0: 1; 1: 1; 2: 3},  {0: 31; 1: 31},  5,  0 ,  0,  {'address': 1, 'core': 1, 'value': 2},  0, 6, 2 

lockserv_unsafe.vmt, unsafe,  20.825,  7.343,  2.864,  13.772,  6.250,  0.033,  6.514,  324,  {0: 1; 1: 1; 2: 1; 3: 5; 4: 4; 5: 5; 6: 8; 7: 7; 8: 8; 9: 10; 10: 12; 11: 12; 12: 2},  {0: 16; 1: 16; 2: 16; 3: 16; 4: 16; 5: 16; 6: 16; 7: 16; 8: 10; 9: 10; 10: 10},  0,  0 ,  0,  {'node': 3},  0, 0, 12 

